Language	ISO code	Datasets	Models
Jola-Fonyi	dyo	4	1
Evenki	evn	4	1
Northern Yukaghir	ykg	4	1
Upper Guinea Crioulo	pov	4	1
Mufian	aoj	4	1
Old Norse	non	4	1
Swabian	swg	4	1
Volapük	vol	4	2
Tena Lowland Quichua	quw	4	1
Kuanyama	kua	4	1
Matu Chin	hlt	4	1
Buriat	bua	4	17
Standard Estonian	ekk	4	1
Sãotomense	cri	4	1
Guadeloupean Creole French	gcf	4	1
Tooro	ttj	4	1
Sena	seh	4	15
Shuswap	shs	4	1
Ambo-Pasco Quechua	qva	4	1
Ibibio	ibb	4	14
Camsá	kbh	4	2
Ngäbere	gym	4	15
Mohawk	moh	4	1
Classical Armenian	xcl	4	1
Isthmus Zapotec	zai	4	4
Ranglong	rnl	4	1
Barasana-Eduria	bsn	4	1
Northern Kissi	kqs	4	1
Motu	meu	4	15
Ancient Hebrew	hbo	4	2
Xavánte	xav	4	1
Corsican	cos	4	2
Kosraean	kos	4	15
Mende (Sierra Leone)	men	4	1
Sukuma	suk	4	1
Tem	kdh	4	1
Bribri	bzd	4	2
Sardinian	srd	4	2
Tz'utujil	tzj	4	15
Northeastern Dinka	dip	4	1
North Moluccan Malay	max	4	1
Rapanui	rap	4	2
Saamia	lsm	4	1
Pulaar	fuc	4	1
Gulf Arabic	afb	4	1
Iban	iba	4	15
Enawené-Nawé	unk	4	816
Skolt Sami	sms	4	1
Quiotepec Chinantec	chq	4	1
Sunwar	suz	4	15
Kapingamarangi	kpg	4	1
Huautla Mazatec	mau	4	1
Mahasu Pahari	bfz	4	1
Dadibi	mps	4	15
Quechua	que	4	2
Eastern Canadian Inuktitut	ike	4	1
Akawaio	ake	4	1
Kuanua	ksd	4	15
San Blas Kuna	cuk	4	15
Male (Ethiopia)	mdy	4	1
Middle High German (ca. 1050-1500)	gmh	4	2
Kwangali	kwn	4	4
Shor	cjs	4	1
Tarifit	rif	4	1
Makhuwa-Meetto	mgh	4	15
Coatlán Mixe	mco	4	1
Moba	mfq	4	1
Lobi	lob	4	1
Ainu (Japan)	ain	4	15
Herero	her	4	1
Yaqui	yaq	4	1
Nenets	yrk	4	1
Tetelcingo Nahuatl	nhg	4	1
Northern Puebla Nahuatl	ncj	4	1
